"","X1","PROVINCIE","Matig_Veel","Hoelang_zit_stront_er_al_in","Poepsterkte"
"1","13","Noord Brabant","M","30 tot 40 jaar",34.24
"2","13","Noord Brabant","M","17 tot 23 jaar",35.52
"3","13","Noord Holland","V","30 tot 40 jaar",34.88
"4","13","Zuid Holland","M","17 tot 23 jaar",32.16
"5","13","Noord Brabant","V","Ouder dan 40 jaar",40.64
"6","13","Gelderland","M","30 tot 40 jaar",32.64
"7","13","Noord Holland","V","30 tot 40 jaar",47.04
"8","13","Overijssel","V","23 tot 30 jaar",36.96
"9","13","Utrecht","V","30 tot 40 jaar",33.12
"10","13","Noord Holland","V","23 tot 30 jaar",43.84
"11","13","Drenthe","V","Ouder dan 40 jaar",37.6
"12","13","Zuid Holland","V","23 tot 30 jaar",41.28
"13","13","Limburg","V","30 tot 40 jaar",32.8
"14","13","Limburg","M","23 tot 30 jaar",30.72
"15","13","Gelderland","V","30 tot 40 jaar",44.64
"16","13","Noord Brabant","V","23 tot 30 jaar",35.2
"17","13","Zuid Holland","V","Ouder dan 40 jaar",41.12
"18","13","Utrecht","V","Ouder dan 40 jaar",31.52
"19","13","Noord Brabant","V","17 tot 23 jaar",41.76
"20","13","Noord Holland","V","Ouder dan 40 jaar",35.68
"21","13","Utrecht","M","23 tot 30 jaar",33.12
"22","13","Gelderland","M","23 tot 30 jaar",31.84
"23","13","Noord Holland","V","23 tot 30 jaar",34.72
"24","13","Zuid Holland","M","23 tot 30 jaar",36.64
"25","13","Groningen","V","Ouder dan 40 jaar",32.48
"26","13","Noord Brabant","V","30 tot 40 jaar",37.44
"27","13","Utrecht","V","Ouder dan 40 jaar",33.76
"28","13","Noord Brabant","V","30 tot 40 jaar",41.28
"29","13","Zuid Holland","M","23 tot 30 jaar",36.32
"30","13","Noord Brabant","M","23 tot 30 jaar",33.6
"31","13","Zuid Holland","V","30 tot 40 jaar",36.48
"32","13","Gelderland","V","Ouder dan 40 jaar",45.44
"33","13","Gelderland","V","Ouder dan 40 jaar",34.24
"34","13","Noord Brabant","M","17 tot 23 jaar",36.64
"35","13","Utrecht","M","23 tot 30 jaar",33.12
"36","13","Frysl<e2>n","V","Ouder dan 40 jaar",31.68
"37","13","Noord Holland","V","23 tot 30 jaar",44
"38","13","Frysl<e2>n","V","30 tot 40 jaar",32.64
"39","13","Frysl<e2>n","V","Ouder dan 40 jaar",34.88
"40","13","Utrecht","M","Ouder dan 40 jaar",33.92
"41","13","Utrecht","M","17 tot 23 jaar",32
"42","13","Noord Holland","V","23 tot 30 jaar",44
"43","13","Utrecht","M","17 tot 23 jaar",38.08
"44","13","Zuid Holland","V","30 tot 40 jaar",30.88
