"","X1","Krapte_ratio","Krapte_indicator","Y1","Keren_piss_jaar","Keren_hapering_jaar","Gaat_pissen_moeilijk"
"1",1,0.761363636363636,"Moeilijk","13",1672,1273,"Moeilijk"
"2",2,0.363636363636364,"Moeilijk","Afwasser",22,8,"Moeilijk"
"3",3,0.5625,"Moeilijk","1",32,18,"Moeilijk"
"4",4,0.157894736842105,"Moeilijk","2",1026,162,"Moeilijk"
"5",5,0.142857142857143,"Moeilijk","Docent basiseducatie",7,1,"Moeilijk"
"6",6,1.13888888888889,"Niet makkelijk/niet moeilijk","16",72,82,"Niet makkelijk/niet moeilijk"
"7",7,0.272727272727273,"Moeilijk","3",55,15,"Moeilijk"
"8",8,0,"Moeilijk","4",5,0,"Moeilijk"
"9",9,0.238095238095238,"Moeilijk","5",21,5,"Moeilijk"
"10",10,1.5,"Makkelijk","6",4,6,"Makkelijk"
"11",11,0.237264480111654,"Moeilijk","15",1433,340,"Moeilijk"
"12",12,0.206382978723404,"Moeilijk","21",1880,388,"Moeilijk"
"13",13,0.5,"Moeilijk","7",54,27,"Moeilijk"
"14",14,1,"Niet makkelijk/niet moeilijk","Medewerker evenementenorganisatie",4,4,"Niet makkelijk/niet moeilijk"
"15",15,0,"Moeilijk","Medewerker housekeeping",1,0,"Moeilijk"
"16",16,0.340930674264008,"Moeilijk","22",1053,359,"Moeilijk"
"17",17,0.25,"Moeilijk","17",4,1,"Moeilijk"
"18",18,0.420289855072464,"Moeilijk","Oproepkracht",138,58,"Moeilijk"
"19",19,0.113970588235294,"Moeilijk","18",272,31,"Moeilijk"
"20",20,0,"Moeilijk","19",1,0,"Moeilijk"
"21",21,0.739847715736041,"Moeilijk","24",788,583,"Moeilijk"
"22",22,0.160714285714286,"Moeilijk","8",56,9,"Moeilijk"
"23",23,1.02013422818792,"Niet makkelijk/niet moeilijk","20",298,304,"Niet makkelijk/niet moeilijk"
"24",24,0.148484848484848,"Moeilijk","9",330,49,"Moeilijk"
"25",25,0.0740740740740741,"Moeilijk","Sjouwer",27,2,"Moeilijk"
"26",26,0.148148148148148,"Moeilijk","Vakantiekracht administratief",27,4,"Moeilijk"
"27",27,0.195402298850575,"Moeilijk","Vakantiewerk",87,17,"Moeilijk"
"28",28,0.514925373134328,"Moeilijk","10",134,69,"Moeilijk"
"29",29,0.875,"Niet makkelijk/niet moeilijk","25",8,7,"Niet makkelijk/niet moeilijk"
"30",30,0.166666666666667,"Moeilijk","11",6,1,"Moeilijk"
"31",31,0.954545454545455,"Niet makkelijk/niet moeilijk","12",22,21,"Niet makkelijk/niet moeilijk"
