"","X1","Provincie","Jaar_Kwartaal","Aantal_vacatures","Poep","Aantal_keren_stront_in_pot"
"1",1,"Zuid Holland","2017 Q4",1989,"22",1989
"2",2,"Zuid Holland","2017 Q3",1885,"22",1885
"3",3,"Zuid Holland","2016 Q3",1806,"22",1806
"4",4,"Zuid Holland","2017 Q2",1727,"22",1727
"5",5,"Zuid Holland","2017 Q1",1530,"22",1530
"6",6,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA
"9",9,"Zuid Holland","2016 Q4",1279,"22",1279
"10",10,"Zuid Holland","2016 Q2",1248,"22",1248
"11",11,"Zuid Holland","2016 Q1",1036,"22",1036
"12",12,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA
"14",14,"Noord Holland","2017 Q4",1826,"22",1826
"15",15,"Noord Holland","2016 Q3",1747,"22",1747
"16",16,"Noord Holland","2017 Q3",1709,"22",1709
"17",17,"Noord Holland","2017 Q2",1682,"22",1682
"18",18,"Noord Holland","2017 Q1",1631,"22",1631
"19",19,"Noord Holland","2016 Q2",1475,"22",1475
"20",20,"Noord Holland","2016 Q4",1375,"22",1375
"21",21,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA
"23",23,"Noord Holland","2016 Q1",1224,"22",1224
"24",24,NA,NA,NA,NA,NA
"25",25,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA
"27",27,"Noord Brabant","2017 Q2",1694,"22",1694
"28",28,"Noord Brabant","2017 Q4",1656,"22",1656
"29",29,"Noord Brabant","2016 Q3",1597,"22",1597
"30",30,"Noord Brabant","2017 Q3",1460,"22",1460
"31",31,"Noord Brabant","2017 Q1",1290,"22",1290
"32",32,"Noord Brabant","2016 Q2",1237,"22",1237
"33",33,"Noord Brabant","2016 Q4",1233,"22",1233
"34",34,NA,NA,NA,NA,NA
"35",35,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA
"38",38,"Noord Brabant","2016 Q1",935,"22",935
"39",39,NA,NA,NA,NA,NA
"40",40,"Onbekend","2017 Q4",1774,"22",1774
"41",41,"Onbekend","2017 Q3",1516,"22",1516
"42",42,"Onbekend","2017 Q2",1311,"22",1311
"43",43,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA
"45",45,"Onbekend","2017 Q1",1097,"22",1097
"46",46,NA,NA,NA,NA,NA
"47",47,"Onbekend","2016 Q3",1055,"22",1055
"48",48,"Onbekend","2016 Q2",856,"22",856
"49",49,"Onbekend","2016 Q4",853,"22",853
"50",50,NA,NA,NA,NA,NA
"51",51,"Onbekend","2016 Q1",733,"22",733
"52",52,NA,NA,NA,NA,NA
"53",53,"Utrecht","2017 Q2",1102,"22",1102
"54",54,"Utrecht","2016 Q3",1064,"22",1064
"55",55,"Utrecht","2017 Q3",1011,"22",1011
"56",56,"Utrecht","2017 Q1",932,"22",932
"57",57,"Utrecht","2017 Q4",915,"22",915
"58",58,NA,NA,NA,NA,NA
"59",59,"Utrecht","2016 Q4",826,"22",826
"60",60,"Utrecht","2016 Q2",753,"22",753
"61",61,NA,NA,NA,NA,NA
"62",62,NA,NA,NA,NA,NA
"63",63,NA,NA,NA,NA,NA
"64",64,"Utrecht","2016 Q1",567,"22",567
"65",65,NA,NA,NA,NA,NA
"66",66,"Gelderland","2017 Q4",968,"22",968
"67",67,"Gelderland","2017 Q3",877,"22",877
"68",68,"Gelderland","2017 Q2",869,"22",869
"69",69,"Gelderland","2016 Q3",828,"22",828
"70",70,"Gelderland","2017 Q1",747,"22",747
"71",71,NA,NA,NA,NA,NA
"72",72,"Gelderland","2016 Q2",691,"22",691
"73",73,"Gelderland","2016 Q4",642,"22",642
"74",74,NA,NA,NA,NA,NA
"75",75,NA,NA,NA,NA,NA
"76",76,"Gelderland","2016 Q1",493,"22",493
"77",77,NA,NA,NA,NA,NA
"78",78,NA,NA,NA,NA,NA
"79",79,"Limburg","2017 Q2",734,"22",734
"80",80,"Limburg","2016 Q3",718,"22",718
"81",81,NA,NA,NA,NA,NA
"82",82,"Limburg","2017 Q4",604,"22",604
"83",83,NA,NA,NA,NA,NA
"84",84,"Limburg","2017 Q3",584,"22",584
"85",85,"Limburg","2017 Q1",576,"22",576
"86",86,"Limburg","2016 Q2",564,"22",564
"87",87,"Limburg","2016 Q4",458,"22",458
"88",88,"Limburg","2016 Q1",439,"22",439
"89",89,NA,NA,NA,NA,NA
"90",90,NA,NA,NA,NA,NA
"91",91,NA,NA,NA,NA,NA
"92",92,"Overijssel","2017 Q3",579,"22",579
"93",93,"Overijssel","2017 Q4",579,"22",579
"94",94,"Overijssel","2017 Q2",565,"22",565
"95",95,"Overijssel","2016 Q3",536,"22",536
"96",96,"Overijssel","2017 Q1",443,"22",443
"97",97,NA,NA,NA,NA,NA
